,raw_sentiment_score,raw_sentiment_score,weighted_sentiment,source_weight
,mean,count,mean,first
source,,,,
Economic Times,-0.229,29,-0.183,0.8
Google News,0.156,432,0.156,1.0
NewsAPI,0.009,1189,0.009,1.0
StockTwits,0.081,1939,0.024,0.3
Yahoo Finance,-0.214,173,-0.171,0.8
